District,RentType,Area,Price,UnitPrice,HouseFloor,BuldFloor,ElevatorFlag,CommunityID,Geometry
LW,Whole,45,2100,46,M,4,0,717,"23 7m 8.74618s N, 113 13m 42.2316s E"
LW,Whole,15,1200,80,M,4,0,717,"23 7m 8.74618s N, 113 13m 42.2316s E"
LW,Whole,25,1500,60,M,4,0,717,"23 7m 8.74618s N, 113 13m 42.2316s E"
TH,Whole,83,2700,32,H,8,0,2914,"23 7m 48.3269s N, 113 24m 13.5297s E"
PY,Whole,92,2900,31,M,7,0,2915,"23 2m 39.2314s N, 113 17m 48.866s E"
BY,Whole,64,3300,51,M,12,1,861,"23 9m 50.0956s N, 113 11m 33.6148s E"
YX,Shared,10,1700,170,23,31,1,2916,"23 7m 43.3489s N, 113 17m 59.2962s E"
YX,Shared,13,2200,169,23,31,1,2916,"23 7m 43.3489s N, 113 17m 59.2962s E"
TH,Whole,53,3400,64,L,10,1,1054,"23 7m 28.7066s N, 113 21m 53.7562s E"
NS,Whole,75,2000,26,H,3,0,2917,"22 52m 39.418s N, 113 28m 12.0928s E"
PY,Whole,104,3800,36,M,7,0,600,"22 58m 40.8269s N, 113 18m 40.3032s E"
PY,Whole,75,2600,34,M,7,0,600,"22 58m 40.8269s N, 113 18m 40.3032s E"
TH,Whole,70,3500,50,L,10,0,2918,"23 7m 9.69183s N, 113 21m 24.8083s E"
TH,Whole,55,3000,54,M,10,0,2918,"23 7m 9.69183s N, 113 21m 24.8083s E"
LW,Whole,34,2800,82,L,7,0,1098,"23 7m 25.9743s N, 113 14m 54.0112s E"
YX,Whole,35,2800,80,M,9,0,1075,"23 8m 5.27813s N, 113 17m 25.9996s E"
ZC,Whole,140,1900,13,M,24,1,2919,"23 13m 32.3547s N, 113 48m 52.3233s E"
PY,Whole,99,7000,70,H,16,0,2920,"23 3m 52.7225s N, 113 22m 44.6608s E"
LW,Whole,106,6500,61,M,26,1,1215,"23 7m 38.5314s N, 113 13m 57.4748s E"
LW,Whole,68,4500,66,L,23,1,1215,"23 7m 38.5314s N, 113 13m 57.4748s E"
LW,Whole,106,4650,43,8,26,1,1215,"23 7m 38.5314s N, 113 13m 57.4748s E"
BY,Whole,70,2500,35,H,9,0,2921,"23 10m 52.8493s N, 113 14m 42.945s E"
YX,Whole,52,5200,100,M,30,1,2922,"23 8m 14.8518s N, 113 18m 18.2101s E"
YX,Whole,104,10000,96,H,30,1,2922,"23 8m 14.8518s N, 113 18m 18.2101s E"
YX,Whole,51,5100,100,H,30,1,2922,"23 8m 14.8518s N, 113 18m 18.2101s E"
YX,Whole,20,2000,100,M,13,1,2923,"23 8m 16.0475s N, 113 15m 12.3185s E"
TH,Whole,128,6500,50,H,31,1,2924,"23 7m 51.4723s N, 113 18m 50.47s E"
TH,Whole,86,5600,65,L,31,1,2924,"23 7m 51.4723s N, 113 18m 50.47s E"
TH,Whole,78,3500,44,H,9,1,76,"23 8m 28.1312s N, 113 21m 14.8658s E"
TH,Whole,78,3300,42,M,9,1,76,"23 8m 28.1312s N, 113 21m 14.8658s E"
TH,Whole,76,3500,46,M,9,1,76,"23 8m 28.1312s N, 113 21m 14.8658s E"
TH,Whole,80,3300,41,L,9,1,76,"23 8m 28.1312s N, 113 21m 14.8658s E"
TH,Whole,75,3800,50,H,9,0,494,"23 8m 34.0627s N, 113 21m 23.0882s E"
TH,Whole,74,3700,50,L,9,1,494,"23 8m 34.0627s N, 113 21m 23.0882s E"
LW,Whole,40,2500,62,H,7,0,2925,"23 7m 56.8195s N, 113 13m 57.8302s E"
HD,Whole,64,1500,23,H,4,0,486,"23 23m 59.4867s N, 113 12m 49.3929s E"
PY,Whole,20,800,40,H,5,0,2926,"22 56m 57.1616s N, 113 21m 45.5314s E"
PY,Whole,15,900,60,L,5,0,2926,"22 56m 57.1616s N, 113 21m 45.5314s E"
